id,title,price,stock,category,rating,image_url
6935a5fd-18e2-4d32-9ff9-abb0a6260633,It's Only the Himalayas,£45.17,In stock,Travel,2,../../../../media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg
859abddf-1573-4502-837f-67ea88d298cd,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,In stock,Travel,4,../../../../media/cache/57/77/57770cac1628f4407636635f4b85e88c.jpg
1e5c3c23-2db6-4347-a9dc-9a3a85d67c58,See America: A Celebration of Our National Parks & Treasured Sites,£48.87,In stock,Travel,3,../../../../media/cache/9a/7e/9a7e63f12829df4b43b31d110bf3dc2e.jpg
503e33e0-3521-40e3-a527-08f089f06574,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,In stock,Travel,2,../../../../media/cache/d5/bf/d5bf0090470b0b8ea46d9c166f7895aa.jpg
37b3722b-019a-4b60-aa2a-e5cbf783b09d,Under the Tuscan Sun,£37.33,In stock,Travel,3,../../../../media/cache/98/c2/98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg
a790bd62-e043-400d-957e-0776b9a5eb99,A Summer In Europe,£44.34,In stock,Travel,2,../../../../media/cache/4e/15/4e15150388702ebca2c5a523ac270539.jpg
80421e25-7bbf-4759-8560-64e9f37e10f9,The Great Railway Bazaar,£30.54,In stock,Travel,1,../../../../media/cache/76/de/76de41867f323d7f1f4fbe2fdfc1b2ba.jpg
04feeb51-dd27-405f-a342-9902f2c5f746,A Year in Provence (Provence #1),£56.88,In stock,Travel,4,../../../../media/cache/db/46/db46159b05faa5d95262112bf9c29ddd.jpg
eb173476-66a5-42a2-bff6-3f12472a1b58,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,In stock,Travel,1,../../../../media/cache/e0/4f/e04f8eda2a2fa947aec17640202d9ab0.jpg
60ce25a9-dc6a-4437-a02f-eae301bf6e4b,Neither Here nor There: Travels in Europe,£38.95,In stock,Travel,3,../../../../media/cache/06/81/0681530a7bc301caf5c3257e1b0f0750.jpg
176cfcea-25b5-43f0-9273-850de260f881,"1,000 Places to See Before You Die",£26.08,In stock,Travel,5,../../../../media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg
9aff20dd-ac66-464a-a050-151523be4855,Sharp Objects,£47.82,In stock,Mystery,4,../../../../media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg
8e8cbec9-b9d4-41b0-8389-e4a8fe3df06a,"In a Dark, Dark Wood",£19.63,In stock,Mystery,1,../../../../media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
c3729543-5721-458a-9131-842399c9fca7,The Past Never Ends,£56.50,In stock,Mystery,4,../../../../media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
efca95ef-cf03-4840-9f6e-b2246ec479c0,A Murder in Time,£16.64,In stock,Mystery,1,../../../../media/cache/11/aa/11aaad48b5f15e262456ca65294084da.jpg
d85d3a7d-fc00-439a-b576-9ca5c825a7d7,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,In stock,Mystery,4,../../../../media/cache/29/fe/29fe70b1b2e5a9ba61d4bd331255e19e.jpg
70010d0d-c48e-46bf-b13e-0e8af968b182,The Last Mile (Amos Decker #2),£54.21,In stock,Mystery,2,../../../../media/cache/37/f1/37f118b4a56d866e1e8b563759d6966c.jpg
26ab0b22-b02e-447c-b3e9-cce40446b748,That Darkness (Gardiner and Renner #1),£13.92,In stock,Mystery,1,../../../../media/cache/44/9e/449ed681142bc336646abee754e96639.jpg
e9ac7172-2dbc-4c45-893f-efbc703931af,Tastes Like Fear (DI Marnie Rome #3),£10.69,In stock,Mystery,1,../../../../media/cache/3c/91/3c91d97266bd6dda322089695fb46daf.jpg
66abd604-a8f6-41ee-a5d8-9370d120ec44,A Time of Torment (Charlie Parker #14),£48.35,In stock,Mystery,5,../../../../media/cache/e8/c0/e8c0ba15066bab950ae161fd60949b9a.jpg
2de5ce03-9288-4417-9582-854344523a6a,A Study in Scarlet (Sherlock Holmes #1),£16.73,In stock,Mystery,2,../../../../media/cache/8f/a4/8fa41d6caa10e427356b8a590eb4d96b.jpg
103e9f4f-73b8-4812-b6c1-a5bd44bcaf43,Poisonous (Max Revere Novels #3),£26.80,In stock,Mystery,3,../../../../media/cache/23/52/2352718971d5e166fa9541a5a7d716fa.jpg
56b4a71f-183e-4d0d-b46c-510b9288a224,Murder at the 42nd Street Library (Raymond Ambler #1),£54.36,In stock,Mystery,4,../../../../media/cache/c3/8d/c38d65cd155b67ca025f0655bd1bb095.jpg
c4b0a84b-6587-47cb-9566-bb4cb7d98c71,Most Wanted,£35.28,In stock,Mystery,3,../../../../media/cache/8b/bc/8bbc5ab4c3784b4d9b93eb0fd1fb6fd6.jpg
c8a870de-b879-400e-b959-aeb1251ea082,Hide Away (Eve Duncan #20),£11.84,In stock,Mystery,1,../../../../media/cache/57/07/5707c3d5d4fd44d943d51730ba7d429a.jpg
98d46a84-11fb-4f00-951a-9a4677cd6066,Boar Island (Anna Pigeon #19),£59.48,In stock,Mystery,3,../../../../media/cache/d5/81/d58157866ea8f015a8e4c55b23b8c96f.jpg
8eecf79c-a547-498a-b4ad-971914956c45,The Widow,£27.26,In stock,Mystery,2,../../../../media/cache/fd/71/fd71fb07247bf911505a351c0670c6dc.jpg
4752e303-d03d-42c7-9d4e-995a8b462a0a,Playing with Fire,£13.71,In stock,Mystery,3,../../../../media/cache/90/0b/900bd2e60d56b6480a4e8eb2dddb46d6.jpg
c15b14e1-3fef-4201-8ca8-7b390d21d58e,What Happened on Beale Street (Secrets of the South Mysteries #2),£25.37,In stock,Mystery,5,../../../../media/cache/c7/ab/c7abb5e32bd37118a87523dcee0a70a6.jpg
ebe99484-aad8-4c48-a961-05eede40e7fa,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),£52.30,In stock,Mystery,5,../../../../media/cache/95/d7/95d7541679fcbd579b8a4f2b47231aaf.jpg
b6512025-7d3e-4d54-902f-3c6525684095,Delivering the Truth (Quaker Midwife Mystery #1),£20.89,In stock,Mystery,4,../../../../media/cache/57/31/5731a5d46c2c1e88977eb5e6d1337a2e.jpg
7b49537c-3545-441f-baf3-b51cc6a377f6,The Mysterious Affair at Styles (Hercule Poirot #1),£24.80,In stock,Mystery,4,../../../../media/cache/32/94/3294e5eaf73a37958583483fc9a90f04.jpg
12508fcb-f84b-4d1e-b388-c41d00e3c302,In the Woods (Dublin Murder Squad #1),£38.38,In stock,Mystery,2,../../../../media/cache/24/a1/24a175dac7cb91ff26e2d723cdc6e098.jpg
4ccdb634-1fe1-4195-a503-45a3241cceb4,The Silkworm (Cormoran Strike #2),£23.05,In stock,Mystery,5,../../../../media/cache/3a/2c/3a2c46cd40a7ecbd7c40815d6390fb8a.jpg
09bc7cd0-01e2-4e1f-898b-15d4db6ce1e3,The Exiled,£43.45,In stock,Mystery,3,../../../../media/cache/2d/1a/2d1aeb1cc8a23064164e230fa232cc04.jpg
c67f83ab-c2f5-4d69-a726-45d9068b565d,The Cuckoo's Calling (Cormoran Strike #1),£19.21,In stock,Mystery,1,../../../../media/cache/11/81/11815f24d043f77d4f09a3522a688a5c.jpg
bfb52f3f-e46c-4654-be1d-4a7db955f9c6,Extreme Prey (Lucas Davenport #26),£25.40,In stock,Mystery,3,../../../../media/cache/de/86/de86d4f1563fad2ca088922fbbb2b36a.jpg
9db3d987-9cc3-4d90-9734-a8bbdf283663,Career of Evil (Cormoran Strike #3),£24.72,In stock,Mystery,2,../../../../media/cache/9e/ff/9eff8b66d583e8f0ba58a0bc86de40f2.jpg
385b7d0b-aa75-4a60-9d3a-6ff4940b0d6b,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),£57.70,In stock,Mystery,4,../../../../media/cache/34/2e/342ec55d460f3dd49d77dac2bd4ff489.jpg
fb294783-78b0-4df6-b780-8e7a23f565e2,The Girl You Lost,£12.29,In stock,Mystery,5,../../../../media/cache/90/0d/900dba6987796f4312a6a6737b0ea94d.jpg
c889eb2e-502f-43a1-a42a-5ea30e9af5a2,The Girl In The Ice (DCI Erika Foster #1),£15.85,In stock,Mystery,3,../../../../media/cache/d8/f7/d8f77fe7f4bb8610e903741441f84702.jpg
ec613eaf-baf7-4076-99db-c0160a66f05e,Blood Defense (Samantha Brinkman #1),£20.30,In stock,Mystery,3,../../../../media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg
fb04ccd4-dfa4-43ef-a73e-0d42bf8f9703,1st to Die (Women's Murder Club #1),£53.98,In stock,Mystery,1,../../../../media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg
14af31e6-28df-4781-a934-1ee52820a2c7,Tipping the Velvet,£53.74,In stock,Historical Fiction,1,../../../../media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg
63f78955-7dcf-4573-bf3b-2c7728d3f3a8,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,In stock,Historical Fiction,3,../../../../media/cache/d6/58/d658a1485b130ff26ca5fb0d5975ed2e.jpg
82b572d1-b611-484f-a95b-2a7b71a760ae,A Flight of Arrows (The Pathfinders #2),£55.53,In stock,Historical Fiction,5,../../../../media/cache/82/96/8296f92b70fb1dafefecda92c1d51941.jpg
